yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetypeid,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,topicid,questionid,responseid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,21161,21161,,,,,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENM,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,44981,44981,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,232.1,232.1,,,230,234.3,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,199.9,199.9,,,198.1,201.8,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,44501,44501,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,228.6,228.6,,,226.5,230.7,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,193.8,193.8,,,192,195.6,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,43795,43795,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,223.8,223.8,,,221.7,225.9,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,186.5,186.5,,,184.8,188.3,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,44039,44039,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,224.1,224.1,,,222,226.2,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
